FieldID	TRAIT_OF_INTEREST	EXCLUDED	CAT_MULT_INDICATOR_FIELDS	CAT_SINGLE_TO_CAT_MULT	DATE_CONVERT	DATA_CODING	Path	Category	Field	ValueType
3		YES					Assessment centre > Procedural metrics > Process durations	152	Verbal interview duration	Integer
4		YES					Assessment centre > Procedural metrics > Process durations	152	Biometrics duration	Integer
5		YES					Assessment centre > Procedural metrics > Process durations	152	Sample collection duration	Integer
6		YES					Assessment centre > Procedural metrics > Process durations	152	Conclusion duration	Integer
19		YES				100260	Assessment centre > Physical measures > Bone-densitometry of heel	100018	Heel ultrasound method	Categorical single
21		YES				100261	Assessment centre > Physical measures > Anthropometry > Body size measures	100010	Weight method	Categorical single
23		YES				100270	Assessment centre > Physical measures > Spirometry	100020	Spirometry method	Categorical single
31		YES-SEX				9	Population characteristics > Baseline characteristics	100094	Sex	Categorical single
33		YES-DATE					Population characteristics > Baseline characteristics	100094	Date of birth	Date
34		YES-AGE					Population characteristics > Baseline characteristics	100094	Year of birth	Integer
35		YES				7	Assessment centre > Biological sampling > Blood sample collection	100002	Was blood sampling attempted	Categorical single
46		YES					Assessment centre > Physical measures > Hand grip strength	100019	Hand grip strength (left)	Integer
47		YES					Assessment centre > Physical measures > Hand grip strength	100019	Hand grip strength (right)	Integer
48		YES					Assessment centre > Physical measures > Anthropometry > Body size measures	100010	Waist circumference	Continuous
49		YES					Assessment centre > Physical measures > Anthropometry > Body size measures	100010	Hip circumference	Continuous
50		YES					Assessment centre > Physical measures > Anthropometry > Body size measures	100010	Standing height	Continuous
51		YES					Assessment centre > Physical measures > Anthropometry > Body size measures	100010	Seated height	Continuous
52		YES-AGE				8	Population characteristics > Baseline characteristics	100094	Month of birth	Categorical single
53		YES-DATE					Assessment centre > Recruitment > Reception	100024	Date of attending assessment centre	Date
54		YES-ASSESSMENT-CENTRE				10	Assessment centre > Recruitment > Reception	100024	UK Biobank assessment centre	Categorical single
55		YES				8	Assessment centre > Recruitment > Reception	100024	Month of attending assessment centre	Categorical single
62		YES				100641	Assessment centre > Procedural metrics	100004	Willing to attempt cognitive tests	Categorical single
68		YES					Assessment centre > Biological sampling > Blood sample collection	100002	Number of blood samples taken	Integer
74		YES					Assessment centre > Biological sampling > Blood sample collection	100002	Fasting time	Integer
77		YES					Assessment centre > Physical measures > Bone-densitometry of heel	100018	"Heel bone ultrasound T-score, manual entry"	Continuous
78		YES					Assessment centre > Physical measures > Bone-densitometry of heel	100018	"Heel bone mineral density (BMD) T-score, automated"	Continuous
84		YES				37	Assessment centre > Verbal interview > Medical conditions	100074	Cancer year/age first occurred	Integer
87		YES-POLYMORPHIC				37	Assessment centre > Verbal interview > Medical conditions	100074	Non-cancer illness year/age first occurred	Integer
92		YES-POLYMORPHIC				37	Assessment centre > Verbal interview > Operations	100076	Operation year/age first occurred	Integer
93		YES					Assessment centre > Physical measures > Blood pressure	100011	"Systolic blood pressure, manual reading"	Integer
94		YES					Assessment centre > Physical measures > Blood pressure	100011	"Diastolic blood pressure, manual reading"	Integer
95		YES					Assessment centre > Physical measures > Blood pressure	100011	Pulse rate (during blood-pressure measurement)	Integer
96		YES					Assessment centre > Physical measures > Blood pressure	100011	Time since interview start at which blood pressure screen(s) shown	Integer
102							Assessment centre > Physical measures > Blood pressure	100011	"Pulse rate, automated reading"	Integer
111		YES 				7	Assessment centre > Procedural metrics	100004	Aide-memoire completed	Categorical single
115		YES-SENSITIVE					Assessment centre > Verbal interview > Early life factors	100072	Father's month of birth	Categorical single
117		YES-SENSITIVE					Assessment centre > Verbal interview > Early life factors	100072	Mother's month of birth	Categorical single
